instance,action_space,greedy_ratio,agree_with_stepwise_best,step_regret_scaled,best_of_32_ratio,mean_of_32_ratio
I_150_30_S_1-124_4.txt,4500,19.81,0.02,0.1317,23.534,27.372
I_150_30_S_1-99_2.txt,4500,16.831,0.0067,0.1119,21.153,25.055
I_150_30_S_1-9_10.txt,4500,10.772,0.0,0.0715,14.704,17.042
I_150_30_S_1-9_2.txt,4500,8.832,0.02,0.0586,12.928,15.637
I_200_10_S_1-99_6.txt,2000,8.339,0.005,0.0417,10.766,11.681
I_200_10_S_1-9_10.txt,2000,4.199,0.005,0.021,5.817,6.305
I_50_30_S_1-49_8.txt,1500,17.143,0.0,0.3393,14.107,19.922
I_50_30_S_1-49_9.txt,1500,12.816,0.02,0.2534,13.398,18.149
I_50_30_S_1-9_5.txt,1500,12.035,0.0,0.2372,11.512,15.899
I_50_30_S_1-9_6.txt,1500,11.538,0.06,0.2275,10.879,15.701
I_6_2_S_1-49_3.txt,12,1.301,0.1667,0.2143,1.301,1.301
I_6_2_S_1-9_1.txt,12,1.386,0.1667,0.2251,1.386,1.418
I_6_2_S_1-9_2.txt,12,1.191,0.1667,0.1536,1.139,1.187
I_6_3_S_1-124_3.txt,18,1.716,0.1667,0.1892,1.716,1.716
I_6_3_S_1-9_5.txt,18,1.435,0.3333,0.177,1.435,1.435
