instance,action_space,greedy_ratio,agree_with_stepwise_best,step_regret_scaled,best_of_32_ratio,mean_of_32_ratio
I_150_30_S_1-124_4.txt,4500,31.345,0.0,0.2086,30.414,32.665
I_150_30_S_1-99_2.txt,4500,26.237,0.0133,0.1746,26.237,28.996
I_150_30_S_1-9_10.txt,4500,15.781,0.0067,0.1048,15.35,16.772
I_150_30_S_1-9_2.txt,4500,15.641,0.0,0.1039,15.296,16.269
I_200_10_S_1-99_6.txt,2000,12.014,0.0,0.06,10.984,11.971
I_200_10_S_1-9_10.txt,2000,4.736,0.0,0.0237,4.581,5.253
I_50_30_S_1-49_8.txt,1500,19.286,0.0,0.3821,19.286,19.286
I_50_30_S_1-49_9.txt,1500,15.437,0.02,0.3058,15.437,15.523
I_50_30_S_1-9_5.txt,1500,17.093,0.02,0.3384,17.093,17.311
I_50_30_S_1-9_6.txt,1500,15.659,0.0,0.3099,15.659,15.659
I_6_2_S_1-49_3.txt,12,1.902,0.3333,0.2494,1.902,1.902
I_6_2_S_1-9_1.txt,12,1.754,0.1667,0.1374,1.754,1.754
I_6_2_S_1-9_2.txt,12,1.296,0.5,0.0849,1.296,1.296
I_6_3_S_1-124_3.txt,18,1.716,0.3333,0.1802,1.716,1.716
I_6_3_S_1-9_5.txt,18,2.254,0.3333,0.2895,2.254,2.254
